RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R000419,Ho So Engineering Limited,30582026,"Room 5, 5/F, One Portside, 29, Tai Yau Street, San Po Kong, Kowloon",25547192,25180877,hoso3388@yahoo.com.hk,17 Jun 2023,16 Jun 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R000459,Classic Engineering Company Limited,06924436,"Flat 306C, 3/F, Join In Hang Sing Centre, 71-75, Container Port Road, Kwai Tsing, N.T.",25362939,26146660,info@classicenghk.com,17 Jun 2026,16 Jun 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Others(Transparent Panels for Noise Barriers on Highways )
R000552,Welcome Construction Company Limited,07442805,"Unit 1, 19/F, Westley Square, No 48, Hoi Yuen Road, Kwun Tong, Kowloon",93521692,30116822,wccl1108@outlook.com,21 Jul 2026,20 Jul 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Others(Waterworks)
R000584,Hong Chang Construction Transportation Engineering Co Ltd,20290099,"Unit 903-905, 9/F, The Octagon, 6, Sha Tsui Road, Tsuen Wan, N.T.",25935900,25935998,info@hcho.com.hk,21 Jul 2023,20 Jul 2026,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R000706,Wing Fat Building Construction Limited,30649743,"Unit A1, B12, 23/F, NCB Innovation Centre, 888, Lai Chi Kok Road, Sham Shui Po, Kowloon",26986027,26963799,inf@cbm.com.hk,26 Aug 2026,25 Aug 2029,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 03.04 Electrical
R000740,Chi Keung Construction Engineering Limited,33077547,"Room 231, 2/F, My Loft, No. 9, Hoi Wing Road, Tuen Mun, New Territories",24777842,24427129,office@chikeung.com.hk,7 Oct 2023,6 Oct 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 04.04 Hoarding
R000832,Well Tech Engineering & Construction Company Limited,21091301,"Room 1919, 19/F, International Trade Centre, 11-19, Sha Tsui Road, Tsuen Wan, N.T.",24885759,24881169,loboyukaw@gmail.com,7 Oct 2026,6 Oct 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R000918,Ming Shing Construction Engineering Company Limited,20648927,"Shop 12, G/F, Leung Choy Building, 2-44, Ping Fai Path, Yuen Long, N.T.",24431029,29441532,headoffice@mscecl.com,7 Oct 2023,6 Oct 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R000923,Ah Ngau Engineering Ltd,07964099,"Room 5, 2/F, Phase 2, Newport Centre, 116, Ma Tau Kok Road, Kowloon City, Kowloon",27731983,23634129,anel@ahngau.com.hk,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 03.21 Other E&M Trades :: Welding
R000924,Choi Nam Kee Construction Company Limited,13458751,"Flat 1912, 19/F, Grandtech Centre, 8, On Ping Street, Shatin, N.T.",27704282,27712236,cnk.2007@yahoo.com.hk,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 02.06 Tanking and Waterproofing
R000958,Rich Construction Company Limited,30157786,"Flat A, 41/F, Block 2, Century Gateway, 83, Tuen Mun Heung Sze Wui Road, Tuen Mun, N.T.",29769110,29769002,richhkco@gmail.com,7 Oct 2023,6 Oct 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R000965,China Road Engineering And Investment Company Limited,07921560,"38/F, Dorset House, Taikoo Place, 979, King's Road, Quarry Bay, Hong Kong",22383168,22831689,crbchk@crbc.com.hk,7 Oct 2023,6 Oct 2026,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.08 Miscellaneous Cleaning Services
R000996,Oops Limited,31662633,"Room 207, 2/F, Kwai Fung Building, 196, Hing Fong Road, Kwai Tsing, N.T.",27800628,27800629,oopsltd@ymail.com,3 Nov 2023,2 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 03.15 Plumbing
R001151,Fuk Shing Engineering Company Limited,06605511,"Room 202, 2/F, Fuk Shing Commercial Building, On Lok Tsuen, 28, On Lok Mun Street, Fanling, New Territories",27719198,27821075,fukshing@netvigator.com,3 Nov 2023,2 Nov 2026,"01.02 Foundation and Piling | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.02 Marble, Granite and Stone Work | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components"
R001153,Concentric Construction Limited,15876543,"23/F, Skyline Tower, 18, Tong Mi Road, Yau Tsim Mong, Kowloon",23988001,23988301,concentric@ccl-concentric.com,3 Nov 2024,2 Nov 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works
R001181,Chun Wo Foundations Limited,15993438,"27/F, Tower A, 83, King Lam Street, Sham Shui Po, Kowloon",37588666,27446937,cic_cwf@chunwo.com,3 Nov 2024,2 Nov 2027,01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork
R001233,Ng Chiu Construction Company Limited,14021533,"Room 5, 11/F, Max Trade Centre, No. 23, Luk Hop Street, San Po Kong, Kowloon",23325771,27716477,ngchiu2000@yahoo.com.hk,14 Dec 2021,13 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001252,Tapbo Civil Engineering Company Limited,16678893,"Room 02, 12/F, Yee Kuk Industrial Centre, 555, Yee Kuk Street, Cheung Sha Wan, Kowloon",27414851,27457573,tpc@tapbo.com.hk,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 03.04 Electrical
R001280,Tung Yat Construction Co. Limited,19891399,"Room 07, 7/F, Peninsula Tower, 538, Castle Peak Road, Cheung Sha Wan, Kowloon",23446609,23447427,ined@tungyat.com.hk,14 Dec 2023,13 Dec 2026,"01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks) | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.02 Marble, Granite and Stone Work :: Marble/granite work | 02.05 Shutters/Doors Fabrication and Installation :: Stainless steel door | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Signage and graphics | 04.04 Hoarding"
R001288,Peako Engineering Co. Limited,19291509,"23/F, Skyline Tower, 18, Tong Mi Road, Yau Tsim Mong, Kowloon",24056683,24052066,peako@peako.com.hk,14 Dec 2024,13 Dec 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001301,Dixie Engineering Company Limited,12798229,"Room 20-21, 20/F, Block A, Wah Lok Industrial Centre, 31-41, Shan Mei Street, Shatin, New Territories",23633133,23633199,rcheng@ucelhk.com,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R001313,Kin Lee Civil Engineering Company Limited,30097100,"Room A, G/F, 68, Shek Wu Tong Tsuen, Pat Heung, Yuen Long, N.T.",27876698,,kinleecon@biznetvigator.com,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001456,Harvest Engineering Development Limited,30407737,"Room 2001, King Palace Plaza, 52A, Sha Tsui Road, Tsuen Wan, N.T.",27048541,27048642,lorraine@harvestedl.com,14 Dec 2021,13 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks) | 04.04 Hoarding
R001464,Cheerful Technology Limited,30541028,"Unit 15, 4/F, Goldfield Industrial Centre, 1, Sui Wo Road, Shatin, N.T.",25418838,25453778,gilbert@cheerful-tech.com.hk,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Others(Waterworks)
R001537,Dix Construction & Transportation Ltd,06692332,"Unit 4B, 4/F, Goldfield Industrial Centre, 1, Sui Wo Road, Shatin, N.T.",24261877,24265777,dix@dix.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R001542,Vasteam Construction Limited,20903777,"27/F, Tower A, 83, King Lam Street, Sham Shui Po, Kowloon",37588711,27446937,info@chunwo.com,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Signage and graphics
R001610,Kong King Engineering Company Limited,21298501,"Room 615, 6/F, My Loft, 9, Hoi Wing Road, Tuen Mun, N.T.",26684155,26468133,kongkingengineering@yahoo.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R001632,New Capital (H.K.) Limited,32122577,"700A, Tai Kei Leng, Yuen Long, N.T.",31470085,,new_capital_hk@yahoo.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Earthwork
R001634,Lung Hing Engineering Limited,19331236,"Room H, 12/F, Winner Building, 36, Man Yue Street, Hung Hom, Kowloon",22642298,22642283,lung_hing@yahoo.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R001788,Chun Wo Building Construction Limited,06900630,"27/F, Tower A, 83, King Lam Street, Sham Shui Po, Kowloon",37588711,27446937,techsec@chunwo.com,26 Jan 2024,25 Jan 2027,"01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.10 Other Structural and Civil Trades | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components"
R001922,CM Geotechnics Limited,30387810,"421, Yuen Kong Tsuen, Kam Sheung Road, Yuen Long, N.T.",26016078,26011803,cmgeotechnics@gmail.com,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R001998,Good Mind Engineering Limited,18491439,"41/F, United Asia Finance Centre, 333, Lockhart Road, Wan Chai, Hong Kong",31060333,31051881,info@gmehk.com,5 Jan 2024,4 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Tunnel Works )
R002216,Chin Pang Engineering Company Limited,21974262,"Room 3, Block A, 21/F, Bousun Industrial Building, 364-366, Sha Tsui Road, Tsuen Wan, N.T.",24112328,24982899,chinpang2005ko@yahoo.com.hk,25 May 2024,24 May 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002285,Tong Kee Engineering Limited,17980366,"Room 1901, 19/F, Delta House, 3, On Yiu Street, Shatin, New Territories",24076298,24088738,info@tongkee.com.hk,17 Jun 2024,16 Jun 2027,"01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Concrete repair | 01.10 Other Structural and Civil Trades :: Others(Cathodic Protection System) | 02.02 Marble, Granite and Stone Work | 02.06 Tanking and Waterproofing | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 03.04 Electrical :: Electrical control and power panel assembly | 03.08 Heating, Ventilation, and Air-conditioning | 03.15 Plumbing | 03.21 Other E&M Trades :: Signage | 04.04 Hoarding"
R002387,Adrian Construction Limited,12940416,"Flat/Rm 1006, 10/F, Kwai Cheong Centre, No.50, Kwai Cheong Road, Kwai Tsing, N.T.",24288923,24841662,info@adrianeng.com,13 Jul 2024,12 Jul 2027,01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R002420,Sang Hing Civil Contractors Co Ltd,13844370,"Room 215 A-B, 2/F, Central Services Building, Nan Fung Industrial City, 18 , Tin Hau Road, Tuen Mun, NT",24031118,24031162,info@sang-hing.com.hk,13 Jul 2024,12 Jul 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R002446,Wai Fung Yee Limited,32197625,"Flat 219, 2/F, My Loft, 9, Hoi Wing Road, Tuen Mun, N.T.",26562383,26561832,tsuihakyee@yahoo.com.hk,13 Jul 2024,12 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R002560,Hung Yip (HK) Engineering Company Limited,22272495,"Flat L, 13/F, Block 2 , Kin Ho Industrial Building, 14-24, Au Pui Wan Street, Shatin, New Territories",96008339,35201181,hr@hungyip.com,13 Sep 2025,12 Sep 2028,"01.02 Foundation and Piling | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.02 Marble, Granite and Stone Work :: Marble/granite work | 02.04 Window Fabrication and Installation | 02.06 Tanking and Waterproofing | 04.04 Hoarding"
R002610,"Wan Chung Engineering Co., Limited",21492151,"Flat G2, 12/F, Kaiser Estate Phase 2, 47-53, Man Yue Street, Hung Hom, Kowloon City, Kowloon",27892222,36151001,wce@wanchung.com,22 Nov 2025,21 Nov 2028,"01.09 General Civil Works :: Earthwork | 02.06 Tanking and Waterproofing | 03.08 Heating, Ventilation, and Air-conditioning | 04.04 Hoarding"
R002675,World Genius Corporation Limited,32470623,"Room 310, 3/F, Fuk Shing Commercial Building, 28, On Lok Mun Street, North, NT",26699000,24520798,worldgenius2002886@yahoo.com.hk,11 Jan 2026,10 Jan 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002782,Yeung Kwong Construction & Engineering Limited,19479872,"Flat E, 4/F, Cheong Hing Shing Centre, 23, Sha Tsui Road, Tsuen Wan, New Territories",24997328,24123199,yeungkwongce@gmail.com,21 Apr 2023,20 Apr 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002876,Fine Smart Engineering Limited,35456024,"Room 604, 6/F, Kalok Building, 720, Nathan Road, Yau Tsim Mong, Kowloon",24953033,21103540,ffssmart@yahoo.com.hk,19 Jun 2026,18 Jun 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002933,Chuen Shing Construction Limited,15829457,"Room B, 9/F, Valiant Industrial Centre, 2-12, Au Pui Wan Street, Shatin, N.T.",26699978,26699967,iristai2016@gmail.com,16 Aug 2024,15 Aug 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R002941,Kai Yip (Hong Kong) Engineering Limited,35190367,"Room D, 28/F, Block 5, Phase 3, North Court, Festival City, 1, Mei Tin Road, Tai Wai, Shatin, N.T.",25484298,25484398,pwwong.kaiyip@gmail.com,16 Aug 2023,15 Aug 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002942,Wang Cheong Engineering Co,14795419,"(G/F, 24A, Siu Hom Village, Sun Tin, Yuen Long), C/O P.O. Box 47, Sun Tin Post Office, N.T.",24714823,24714829,ckmeltd@gmail.com,16 Aug 2023,15 Aug 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R002996,H.K. Shing Tat Civil Eng. Co. Limited,30587490,"Flat H, 11/F, Tower 8, Vista Paradiso, 2, Hang Ming Street, Shatin, N.T.",90985875,26016603,shingtatcivil@gmail.com,29 Sep 2026,28 Sep 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003004,Shing Hing Civil Engineering Limited,36170605,"Room 07-10, 12/F, Kings Commercial Building, 2-4, Chatham Court, Tsim Sha Tsui, Kowloon",23121001,23121030,faiwong01@yahoo.com.hk,29 Sep 2023,28 Sep 2026,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R003089,Progressive Construction Limited,32671259,"Flat A (Unit V-10), 5/F, Victory Industrial Building, 151-157, Wo Yi Hop Road, Kwai Chung, N.T.",26876228,35852123,peterpang@progressiveco.com.hk,1 Dec 2023,30 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003115,Wah Bo Civil Works Limited,31206924,"Room 2003, 20/F, Wu Sang House, 655, Nathan Road, Mongkok, Kowloon",24179678,24179679,wbcwl2000@gmail.com,4 Jan 2024,3 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 02.10 Other Finishing Trades and Components :: Sports and playground equipment/surface
R003122,Chong Kin Mechanical Engineering Limited,32467452,"24A, G/F, Sun Tin, Siu Hom Village, Yuen Long, N.T.",24714823,24714829,ckmeltd@gmail.com,4 Jan 2024,3 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks) | 04.07 Temporary Protective and Safety Measures
R003161,Great Joint Engineering Limited,33012701,"22/F, Supreme Commercial Building, 368, King's Road, North Point, Hong Kong",22641208,22641033,linglipchiu@gmail.com,4 Jan 2024,3 Jan 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks) | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 03.15 Plumbing | 04.04 Hoarding
R003175,Wai Ming (Ling's) Engineering Company Limited,20200123,"Flat 3, 38/F, Ka Sin House, Ka Keng Court, Tai Wai, N.T.",91929083,26941786,tsnfosst@yahoo.com.hk,13 Feb 2024,12 Feb 2027,01.09 General Civil Works :: Earthwork
R003281,Long Faith Engineering Limited,31144087,"Room 306, 3/F, Join In Hang Sing Centre, 71-75, Container Port Road, Kwai Tsing, N.T.",25362960,25286630,info@longfaitheng.com,11 May 2024,10 May 2027,"01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 03.04 Electrical :: Electrical wiring | 03.04 Electrical :: General electrical installation | 03.04 Electrical :: Electrical control and power panel assembly | 03.08 Heating, Ventilation, and Air-conditioning | 04.04 Hoarding | 04.06 Temporary Electricity Installations | 04.07 Temporary Protective and Safety Measures :: Temporary fences for unfenced edges"
R003309,Ming Hing Waterworks Engineering Co Ltd,10761802,"3/F, Fortune Industrial Building, 35, Tai Yip Street, Ngau Tau Kok, Kowloon",23808265,23975975,mail@minghing.com.hk,11 May 2024,10 May 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks)
R003321,Eastway Construction Engineering Limited,32212801,"Room 02, 19/F, Block C, Sunrise Industrial Building, 10, Hong Man Street, Chai Wan, Hong Kong",25556206,25540894,c.k.eastway@gmail.com,24 Jul 2024,23 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R003338,Wah Dai Engineering Company Limited,34770477,"Flat/Rm C, 21/F, Block 3 The Harbourside, 1, Austin Road West, Yau Tsim Mong, Kowloon",26333688,26331322,maggielum89@yahoo.com.hk,24 Jul 2024,23 Jul 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003366,Kin Wing Civil Engineering Co. Limited,33409122,"Room A, 6/F, Block 2, Kin Ho Industrial Building , 14-24, Au Pui Wan Street, Sha Tin Fo tan, N.T.",27858152,27259316,kinwingcivil@gmail.com,24 Jul 2024,23 Jul 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R003489,Shun Yuen Construction Co Ltd,05649760,"Office 1, 6/F, Rykadan Capital Tower, 135, Hoi Bun Road, Kwun Tong, Kowloon",23891368,27979799,mail@shunyuen.com,28 Sep 2024,27 Sep 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Waterworks)
R003504,Wellcon Construction Limited,37164110,"Flat D, 2/F, Asia Building, 258, Cheung Sha Wan Road, Sham Shui Po, Kowloon",31682777,31682789,fannychan@wcl-wellcon.com.hk,19 Nov 2025,18 Nov 2028,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Pipe Jacking)
R003607,Lee Fat Enterprise Works Limited,33455377,"Room B2, 4/F, Yip Fung Industrial Building, 28-36, Kwai Fung Crescent, Kwai Tsing, New Territories",24616832,24617585,leefat2461@gmail.com,5 Feb 2026,4 Feb 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.10 Other Structural and Civil Trades :: Expansion joints
R003646,Univic Earthworks Limited,33757391,"Room 3401, 34/F, 118, Connaught Road West, Central and Western, Hong Kong",28988510,25586900,info@kwanon.hk,25 Mar 2026,24 Mar 2029,01.09 General Civil Works :: Earthwork
R003671,Wo Fat Construction Work Company Limited,35243998,"Room 13, 6/F, International Plaza, 20, Sheung Yuet Road, Kowloon Bay, Kwun Tong, Kowloon",28976966,28976376,wofat_mail@yahoo.com.hk,25 Mar 2026,24 Mar 2029,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 04.04 Hoarding
R003675,Kin Kay Machinery Rental & Engineering Co. Limited,34547206,"Room 8, 28/F, Metropole Square, 2, On Yiu Street, Shatin, N.T.",23305798,23304598,kkmrec@yahoo.com.hk,25 Mar 2026,24 Mar 2029,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Others(Waterworks)
R003870,Arbat Contractors Limited,35571331,"Flat D-E, 6/F, Worldwide Centre, 123, Tung Chau Street, Yau Tsim Mong, Kowloon",23081613,23081676,sec@arbat.com.hk,20 Nov 2024,19 Nov 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003876,East Asia Construction Company Limited,30327757,"Flat D-E, 6/F, Worldwide Centre, 123, Tung Chau Street, Tai Kok Tsui, Yau Tsim Mong, Kowloon",23081613,23081676,sec@arbat.com.hk,20 Nov 2024,19 Nov 2027,01.02 Foundation and Piling :: Sheet piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R003902,Luen Yau Construction Company Limited,38810035,"Unit 1108, 11/F, Tuen Mun Central Square, No. 22, Hoi Wing Road, Tuen Mun, New Territories",26172831,26172832,luenyauwu@yahoo.com.hk,2 Mar 2022,1 Mar 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works
R003939,Tai Lee Engineering Company Limited,35196533,"Flat/Rm 06, 16/F, Shatin Galleria, 18-24, Shan Mei Street, Fotan, New Territories",23226810,23226830,admin@taileehk.com.hk,2 Mar 2024,1 Mar 2027,01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
